#LineFullDataSet,Timestamp,AirHumidity,AirPressure,AirTemperature,GasCHRatio,GasCO2Concentration,GasEthaneConcentration,GasHexaneConcentration,GasHhvEnergy,GasIbutaneConcentration,GasIpentaneConcentration,GasLhvEnergy,GasMethaneConcentration,GasN2Concentration,GasNbutaneConcentration,GasNeopentaneConcentration,GasNpentaneConcentration,GasPropaneConcentration,GasRelativeDensity,GasWobbeInf,GasWobbeSup,GrossPower,GrossEfficiency
1228,2015-03-24 04:00:00,72.86964,1011.0594289999999,24.83146,3.1596672860000004,1.1797196429999999,4.512437,0.11531276,41.284009999999995,0.342866964,0.11499725699999999,37.441982,86.88039286,4.3720737860000005,0.447837486,0.0,0.10161502900000001,1.939249429,0.643980629,46.49489643,51.42988214,557.5940082999999,56.62963810000001
1229,2015-03-24 05:00:00,74.258535,1011.723333,24.3316,3.1607458569999998,1.182177286,4.506518429,0.116148929,41.29013,0.344871821,0.11596642900000001,37.47751615,86.87724538,4.350732214,0.45088925700000004,0.0,0.10237639999999999,1.9511691430000002,0.644185443,46.51083286,51.44692,561.1863118,56.459714899999994
1230,2015-03-24 06:00:00,73.32175,1012.4285,24.138455,3.1602195710000003,1.174955385,4.493974143,0.11851595699999999,41.281345,0.342988385,0.116166529,37.47872786,86.92020333,4.350869167,0.449030369,0.0,0.102588414,1.9396229999999999,0.643851731,46.50815385,51.44461692,577.7197251,56.09435917
1231,2015-03-24 07:00:00,70.41016,1013.441,24.825670000000002,3.159390385,1.16995,4.5032176669999995,0.118002057,41.2781575,0.340905046,0.11544017699999999,37.47927917,86.92137,4.359078154,0.446235892,0.0,0.101965377,1.928651615,0.643700577,46.50602154,51.44254923,532.4107134999999,55.19380507
1232,2015-03-24 08:00:00,68.14416999999999,1014.4005,26.58709667,3.1589263080000003,1.167451077,4.494655615,0.1191238,41.25887385,0.33978540799999996,0.114010769,37.47828846,86.91792385,4.371368,0.444412085,0.0,0.100712392,1.9273484619999999,0.643676954,46.500170000000004,51.43617077,562.3916396000001,56.39080746
1233,2015-03-24 09:00:00,68.47631667,1014.847,26.61784,3.157545143,1.1535494290000001,4.4527495,0.118922938,41.23104615,0.3376425,0.113752971,37.47537154,86.97955,4.390395385,0.440945243,0.0,0.10046193099999999,1.910574143,0.643085343,46.48325857,51.41877143,635.6713811000001,56.91469716
1234,2015-03-24 10:00:00,66.72815,1015.0444289999999,26.825090000000003,3.155092,1.132400846,4.410017615,0.111975964,41.19916333,0.334821092,0.1115388,37.47543417,87.06892538,4.403440643,0.43575532299999997,0.0,0.09827332,1.880659,0.642178685,46.45960615,51.39458077,583.1813852000001,56.94407329
1235,2015-03-24 11:00:00,71.148,1014.89625,26.534290000000002,3.155302462,1.122111077,4.396648429,0.11300119300000001,41.19185231,0.3336982,0.1118268,37.48089154,87.1109,4.393919615,0.435576346,0.0,0.09877176300000001,1.8864799230000002,0.641935185,46.47963231,51.416909999999994,580.8326563999999,56.45278539
1236,2015-03-24 12:00:00,71.195025,1014.6165710000001,26.42650833,3.156031615,1.118896,4.403226385,0.11498566199999999,41.20786769,0.33480340000000003,0.112096438,37.48436667,87.11407286,4.380901462,0.4352289000000001,0.0,0.09895586,1.895963846,0.6421161999999999,46.49382,51.43203,573.450475,56.60077939
1237,2015-03-24 13:00:00,72.24754,1013.663667,26.356340000000003,3.156411,1.104775692,4.395942538,0.117412015,41.23430083,0.33700069200000005,0.113465408,37.48645846,87.11691,4.3801026919999995,0.439995577,0.0,0.10025525699999999,1.894885385,0.642273215,46.51282615,51.45238385,540.7224123999999,56.66353119
